individualID,individualIdSource,species,genotypeBackground,room,litter,matingID,dateBirth,dateDeath,treatmentType,Genotype,Sex,Age,sample,lane
APOE3-7,NA,Mouse,C57BL/6,Mayo_GB436,09.14.2016,NA,09/14/2016,12/13/2016,NA,APOE3,male,3M,APOE_3M_43,L8
APOE3-5,NA,Mouse,C57BL/6,Mayo_GB436,11.08.2016,NA,11/08/2016,02/09/2017,NA,APOE3,male,3M,APOE_3M_44,L8
APOE3-13,NA,Mouse,C57BL/6,Mayo_GB436,09.14.2016,NA,09/14/2016,12/13/2016,NA,APOE3,female,3M,APOE_3M_45,L8
APOE3-12,NA,Mouse,C57BL/6,Mayo_GB436,08.25.2016,NA,08/25/2016,11/23/2016,NA,APOE3,female,3M,APOE_3M_46,L8
APOE2-6,NA,Mouse,C57BL/6,Mayo_GB436,09.07.2016,NA,09/07/2016,12/06/2016,NA,APOE2,male,3M,APOE_3M_47,L8
APOE4-12,NA,Mouse,C57BL/6,Mayo_GB436,01.10.2017,NA,01/10/2017,04/03/2017,NA,APOE4,female,3M,APOE_3M_48,L8
ApoE2_12M_15,NA,Mouse,C57BL/6,Mayo_GB436,2016.08.13,NA,2016/08/13,2017/08/17,NA,APOE2,female,12M,ApoE-1,L3
ApoE3_24M_12,NA,Mouse,C57BL/6,Mayo_GB436,2015.06.15,NA,2015/06/15,2017/06/30,NA,APOE3,female,24M,ApoE-2,L3
ApoE4_24M_12,NA,Mouse,C57BL/6,Mayo_GB436,2015.05.01,NA,2015/05/01,2017/05/16,NA,APOE4,female,24M,ApoE-3,L3
ApoE3_24M_16,NA,Mouse,C57BL/6,Mayo_GB436,2015.09.28,NA,2015/09/28,2017/09/26,NA,APOE3,female,24M,ApoE-4,L3
ApoE3_12M_7,NA,Mouse,C57BL/6,Mayo_GB436,2016.08.06,NA,2016/08/06,2017/08/17,NA,APOE3,female,12M,ApoE-5,L3
ApoE2_12M_13,NA,Mouse,C57BL/6,Mayo_GB436,2016.06.25,NA,2016/06/25,2017/07/06,NA,APOE2,female,12M,ApoE-6,L3
ApoE4_12M_7,NA,Mouse,C57BL/6,Mayo_GB436,2016.07.08,NA,2016/07/08,2017/07/11,NA,APOE4,male,12M,ApoE-7,L4
ApoE3_12M_8,NA,Mouse,C57BL/6,Mayo_GB436,2016.08.06,NA,2016/08/06,2017/08/17,NA,APOE3,female,12M,ApoE-8,L4
ApoE4_12M_13,NA,Mouse,C57BL/6,Mayo_GB436,2016.07.08,NA,2016/07/08,2017/07/11,NA,APOE4,female,12M,ApoE-9,L4
ApoE2_12M_3,NA,Mouse,C57BL/6,Mayo_GB436,2016.06.25,NA,2016/06/25,2017/07/06,NA,APOE2,male,12M,ApoE-10,L4
ApoE2_24M_11,NA,Mouse,C57BL/6,Mayo_GB436,2015.10.07,NA,2015/10/07,2017/09/22,NA,APOE2,male,24M,ApoE-11,L4
ApoE3_12M_1,NA,Mouse,C57BL/6,Mayo_GB436,2016.08.06,NA,2016/08/06,2017/08/17,NA,APOE3,female,12M,ApoE-12,L4
ApoE4_24M_7,NA,Mouse,C57BL/6,Mayo_GB436,2015.05.01,NA,2015/05/01,2017/05/16,NA,APOE4,male,24M,ApoE-13,L5
ApoE3_24M_5,NA,Mouse,C57BL/6,Mayo_GB436,2015.06.15,NA,2015/06/15,2017/06/30,NA,APOE3,male,24M,ApoE-14,L5
ApoE2_12M_4,NA,Mouse,C57BL/6,Mayo_GB436,2016.06.25,NA,2016/06/25,2017/07/06,NA,APOE2,male,12M,ApoE-15,L5
ApoE4_24M_18,NA,Mouse,C57BL/6,Mayo_GB436,2015.08.30,NA,2015/08/30,2017/08/18,NA,APOE4,female,24M,ApoE-16,L5
ApoE4_24M_17,NA,Mouse,C57BL/6,Mayo_GB436,2015.08.29,NA,2015/08/29,2017/08/18,NA,APOE4,female,24M,ApoE-17,L5
ApoE4_24M_15,NA,Mouse,C57BL/6,Mayo_GB436,2015.06.18,NA,2015/06/18,2017/06/30,NA,APOE4,female,24M,ApoE-18,L5
ApoE4_24M_6,NA,Mouse,C57BL/6,Mayo_GB436,2015.05.01,NA,2015/05/01,2017/05/16,NA,APOE4,male,24M,ApoE-19,L6
ApoE3_24M_1,NA,Mouse,C57BL/6,Mayo_GB436,2015.06.18,NA,2015/06/18,2017/06/30,NA,APOE3,male,24M,ApoE-20,L6
ApoE4_24M_9,NA,Mouse,C57BL/6,Mayo_GB436,2015.05.01,NA,2015/05/01,2017/05/16,NA,APOE4,male,24M,ApoE-21,L6
ApoE2_24M_8,NA,Mouse,C57BL/6,Mayo_GB436,2015.06.15,NA,2015/06/15,2017/06/30,NA,APOE2,female,24M,ApoE-22,L6
ApoE3_24M_10,NA,Mouse,C57BL/6,Mayo_GB436,2015.06.15,NA,2015/06/15,2017/06/30,NA,APOE3,female,24M,ApoE-23,L6
ApoE3_24M_7,NA,Mouse,C57BL/6,Mayo_GB436,2015.06.15,NA,2015/06/15,2017/06/30,NA,APOE3,male,24M,ApoE-24,L6
ApoE3_12M_4,NA,Mouse,C57BL/6,Mayo_GB436,2016.08.06,NA,2016/08/06,2017/08/17,NA,APOE3,female,12M,ApoE-25,L7
ApoE2_12M_10,NA,Mouse,C57BL/6,Mayo_GB436,2016.06.25,NA,2016/06/25,2017/07/06,NA,APOE2,female,12M,ApoE-26,L7
ApoE4_24M_2,NA,Mouse,C57BL/6,Mayo_GB436,2015.08.31,NA,2015/08/31,2017/08/18,NA,APOE4,male,24M,ApoE-27,L7
ApoE2_24M_12,NA,Mouse,C57BL/6,Mayo_GB436,2015.10.07,NA,2015/10/07,2017/09/22,NA,APOE2,male,24M,ApoE-28,L7
ApoE2_24M_5,NA,Mouse,C57BL/6,Mayo_GB436,2015.06.15,NA,2015/06/15,2017/06/30,NA,APOE2,female,24M,ApoE-29,L7
ApoE2_12M_11,NA,Mouse,C57BL/6,Mayo_GB436,2016.06.25,NA,2016/06/25,2017/07/06,NA,APOE2,female,12M,ApoE-30,L7
ApoE2_12M_12,NA,Mouse,C57BL/6,Mayo_GB436,2016.06.25,NA,2016/06/25,2017/07/06,NA,APOE2,female,12M,ApoE-31,L8
ApoE3_24M_14,NA,Mouse,C57BL/6,Mayo_GB436,2015.08.20,NA,2015/08/20,2017/08/18,NA,APOE3,female,24M,ApoE-32,L8
ApoE4_12M_5,NA,Mouse,C57BL/6,Mayo_GB436,2016.07.08,NA,2016/07/08,2017/07/11,NA,APOE4,male,12M,ApoE-33,L8
ApoE4_12M_11,NA,Mouse,C57BL/6,Mayo_GB436,2016.07.08,NA,2016/07/08,2017/07/11,NA,APOE4,female,12M,ApoE-34,L8
ApoE3_24M_3,NA,Mouse,C57BL/6,Mayo_GB436,2015.06.15,NA,2015/06/15,2017/06/30,NA,APOE3,male,24M,ApoE-35,L8
ApoE4_12M_12,NA,Mouse,C57BL/6,Mayo_GB436,2016.07.08,NA,2016/07/08,2017/07/11,NA,APOE4,female,12M,ApoE-36,L8
ApoE3_12M_6,NA,Mouse,C57BL/6,Mayo_GB436,2016.08.06,NA,2016/08/06,2017/08/17,NA,APOE3,female,12M,ApoE-38,L1
ApoE2_24M_10,NA,Mouse,C57BL/6,Mayo_GB436,2015.10.07,NA,2015/10/07,2017/09/22,NA,APOE2,male,24M,ApoE-39,L1
ApoE2_12M_2,NA,Mouse,C57BL/6,Mayo_GB436,2016.08.13,NA,2016/08/13,2017/08/17,NA,APOE2,male,12M,ApoE-40,L1
ApoE2_24M_6,NA,Mouse,C57BL/6,Mayo_GB436,2015.06.15,NA,2015/06/15,2017/06/30,NA,APOE2,female,24M,ApoE-41,L1
ApoE3_24M_11,NA,Mouse,C57BL/6,Mayo_GB436,2015.06.15,NA,2015/06/15,2017/06/30,NA,APOE3,female,24M,ApoE-42,L1
ApoE3_24M_2,NA,Mouse,C57BL/6,Mayo_GB436,2015.06.15,NA,2015/06/15,2017/06/30,NA,APOE3,male,24M,ApoE-43,L2
ApoE3_12M_16,NA,Mouse,C57BL/6,Mayo_GB436,2016.09.23,NA,2016/09/23,2017/09/22,NA,APOE3,male,12M,ApoE-44,L2
ApoE2_24M_3,NA,Mouse,C57BL/6,Mayo_GB436,2015.06.15,NA,2015/06/15,2017/06/30,NA,APOE2,female,24M,ApoE-45,L2
ApoE2_24M_15,NA,Mouse,C57BL/6,Mayo_GB436,2015.09.29,NA,2015/09/29,2017/09/22,NA,APOE2,male,24M,ApoE-46,L2
ApoE4_24M_13,NA,Mouse,C57BL/6,Mayo_GB436,2015.05.01,NA,2015/05/01,2017/05/16,NA,APOE4,female,24M,ApoE-47,L2
ApoE4_12M_6,NA,Mouse,C57BL/6,Mayo_GB436,2016.07.08,NA,2016/07/08,2017/07/11,NA,APOE4,male,12M,ApoE-48,L2
ApoE4_24M_11,NA,Mouse,C57BL/6,Mayo_GB436,2015.05.01,NA,2015/05/01,2017/05/16,NA,APOE4,female,24M,ApoE-49,L3
ApoE4_24M_14,NA,Mouse,C57BL/6,Mayo_GB436,2015.05.01,NA,2015/05/01,2017/05/16,NA,APOE4,female,24M,ApoE-50,L3
ApoE2_12M_14,NA,Mouse,C57BL/6,Mayo_GB436,2016.08.13,NA,2016/08/13,2017/08/17,NA,APOE2,female,12M,ApoE-51,L3
ApoE2_12M_1,NA,Mouse,C57BL/6,Mayo_GB436,2016.06.25,NA,2016/06/25,2017/07/06,NA,APOE2,male,12M,ApoE-52,L3
ApoE3_12M_3,NA,Mouse,C57BL/6,Mayo_GB436,2016.08.06,NA,2016/08/06,2017/08/17,NA,APOE3,female,12M,ApoE-53,L3
ApoE4_24M_16,NA,Mouse,C57BL/6,Mayo_GB436,2015.08.28,NA,2015/08/28,2017/08/18,NA,APOE4,female,24M,ApoE-54,L3
ApoE4_12M_4,NA,Mouse,C57BL/6,Mayo_GB436,2016.07.08,NA,2016/07/08,2017/07/11,NA,APOE4,male,12M,ApoE-55,L4
ApoE3_12M_13,NA,Mouse,C57BL/6,Mayo_GB436,2016.09.23,NA,2016/09/23,2017/09/22,NA,APOE3,male,12M,ApoE-56,L4
ApoE3_24M_17,NA,Mouse,C57BL/6,Mayo_GB436,2015.09.28,NA,2015/09/28,2017/09/26,NA,APOE3,female,24M,ApoE-57,L4
ApoE2_12M_8,NA,Mouse,C57BL/6,Mayo_GB436,2016.06.25,NA,2016/06/25,2017/07/06,NA,APOE2,male,12M,ApoE-58,L4
ApoE3_24M_8,NA,Mouse,C57BL/6,Mayo_GB436,2015.06.15,NA,2015/06/15,2017/06/30,NA,APOE3,male,24M,ApoE-59,L4
ApoE3_12M_11,NA,Mouse,C57BL/6,Mayo_GB436,2016.08.06,NA,2016/08/06,2017/08/18,NA,APOE3,male,12M,ApoE-60,L4
ApoE4_12M_16,NA,Mouse,C57BL/6,Mayo_GB436,2016.07.08,NA,2016/07/08,2017/07/11,NA,APOE4,female,12M,ApoE-61,L5
ApoE2_24M_2,NA,Mouse,C57BL/6,Mayo_GB436,2015.06.15,NA,2015/06/15,2017/06/30,NA,APOE2,female,24M,ApoE-62,L5
ApoE4_12M_2,NA,Mouse,C57BL/6,Mayo_GB436,2016.07.08,NA,2016/07/08,2017/07/11,NA,APOE4,male,12M,ApoE-63,L5
ApoE2_12M_5,NA,Mouse,C57BL/6,Mayo_GB436,2016.06.25,NA,2016/06/25,2017/07/06,NA,APOE2,male,12M,ApoE-64,L5
ApoE4_24M_10,NA,Mouse,C57BL/6,Mayo_GB436,2015.05.01,NA,2015/05/01,2017/05/16,NA,APOE4,male,24M,ApoE-65,L5
ApoE4_12M_15,NA,Mouse,C57BL/6,Mayo_GB436,2016.07.08,NA,2016/07/08,2017/07/11,NA,APOE4,female,12M,ApoE-66,L5
ApoE3_24M_13,NA,Mouse,C57BL/6,Mayo_GB436,2015.08.20,NA,2015/08/20,2017/08/18,NA,APOE3,female,24M,ApoE-67,L6
ApoE2_24M_13,NA,Mouse,C57BL/6,Mayo_GB436,2015.10.07,NA,2015/10/07,2017/09/22,NA,APOE2,male,24M,ApoE-68,L6
ApoE4_24M_8,NA,Mouse,C57BL/6,Mayo_GB436,2015.05.01,NA,2015/05/01,2017/05/16,NA,APOE4,male,24M,ApoE-69,L6
ApoE2_12M_9,NA,Mouse,C57BL/6,Mayo_GB436,2016.06.25,NA,2016/06/25,2017/07/06,NA,APOE2,female,12M,ApoE-70,L6
ApoE4_12M_9,NA,Mouse,C57BL/6,Mayo_GB436,2016.07.08,NA,2016/07/08,2017/07/11,NA,APOE4,female,12M,ApoE-71,L6
ApoE2_24M_4,NA,Mouse,C57BL/6,Mayo_GB436,2015.06.15,NA,2015/06/15,2017/06/30,NA,APOE2,female,24M,ApoE-72,L6
ApoE3_24M_15,NA,Mouse,C57BL/6,Mayo_GB436,2015.09.28,NA,2015/09/28,2017/09/26,NA,APOE3,female,24M,ApoE-73,L7
ApoE2_24M_1,NA,Mouse,C57BL/6,Mayo_GB436,2015.08.28,NA,2015/08/28,2017/08/18,NA,APOE2,female,24M,ApoE-74,L7
ApoE4_12M_1,NA,Mouse,C57BL/6,Mayo_GB436,2016.07.08,NA,2016/07/08,2017/07/11,NA,APOE4,male,12M,ApoE-75,L7
ApoE3_12M_5,NA,Mouse,C57BL/6,Mayo_GB436,2016.08.06,NA,2016/08/06,2017/08/17,NA,APOE3,female,12M,ApoE-76,L7
ApoE4_12M_3,NA,Mouse,C57BL/6,Mayo_GB436,2016.07.08,NA,2016/07/08,2017/07/11,NA,APOE4,male,12M,ApoE-77,L7
ApoE4_24M_3,NA,Mouse,C57BL/6,Mayo_GB436,2015.04.07,NA,2015/04/07,2017/05/16,NA,APOE4,male,24M,ApoE-78,L7
ApoE3_12M_14,NA,Mouse,C57BL/6,Mayo_GB436,2016.09.23,NA,2016/09/23,2017/09/22,NA,APOE3,male,12M,ApoE-79,L1
ApoE3_12M_12,NA,Mouse,C57BL/6,Mayo_GB436,2016.09.23,NA,2016/09/23,2017/09/22,NA,APOE3,male,12M,ApoE-80,L1
ApoE2_24M_16,NA,Mouse,C57BL/6,Mayo_GB436,2015.09.29,NA,2015/09/29,2017/09/22,NA,APOE2,male,24M,ApoE-81,L1
ApoE2_12M_6,NA,Mouse,C57BL/6,Mayo_GB436,2016.06.25,NA,2016/06/25,2017/07/06,NA,APOE2,male,12M,ApoE-82,L1
ApoE4_24M_5,NA,Mouse,C57BL/6,Mayo_GB436,2015.05.01,NA,2015/05/01,2017/05/16,NA,APOE4,male,24M,ApoE-83,L1
ApoE3_12M_10,NA,Mouse,C57BL/6,Mayo_GB436,2016.08.06,NA,2016/08/06,2017/08/18,NA,APOE3,male,12M,ApoE-84,L1
ApoE3_24M_4,NA,Mouse,C57BL/6,Mayo_GB436,2015.06.15,NA,2015/06/15,2017/06/30,NA,APOE3,male,24M,ApoE-85,L2
ApoE2_24M_9,NA,Mouse,C57BL/6,Mayo_GB436,2015.06.15,NA,2015/06/15,2017/06/30,NA,APOE2,male,24M,ApoE-86,L2
ApoE2_24M_7,NA,Mouse,C57BL/6,Mayo_GB436,2015.06.15,NA,2015/06/15,2017/06/30,NA,APOE2,female,24M,ApoE-87,L2
ApoE4_12M_14,NA,Mouse,C57BL/6,Mayo_GB436,2016.07.08,NA,2016/07/08,2017/07/11,NA,APOE4,female,12M,ApoE-88,L2
ApoE2_24M_17,NA,Mouse,C57BL/6,Mayo_GB436,2015.09.29,NA,2015/09/29,2017/09/22,NA,APOE2,male,24M,ApoE-89,L2
ApoE3_12M_9,NA,Mouse,C57BL/6,Mayo_GB436,2016.08.06,NA,2016/08/06,2017/08/18,NA,APOE3,male,12M,ApoE-90,L2
ApoE4_12M_10,NA,Mouse,C57BL/6,Mayo_GB436,2016.07.08,NA,2016/07/08,2017/07/11,NA,APOE4,female,12M,ApoE-91,L3
ApoE3_12M_2,NA,Mouse,C57BL/6,Mayo_GB436,2016.08.06,NA,2016/08/06,2017/08/17,NA,APOE3,female,12M,ApoE-92,L3
ApoE3_24M_6,NA,Mouse,C57BL/6,Mayo_GB436,2015.06.15,NA,2015/06/15,2017/06/30,NA,APOE3,male,24M,ApoE-93,L3
ApoE4_12M_8,NA,Mouse,C57BL/6,Mayo_GB436,2016.07.08,NA,2016/07/08,2017/07/11,NA,APOE4,male,12M,ApoE-94,L3
ApoE2_12M_16,NA,Mouse,C57BL/6,Mayo_GB436,2016.08.13,NA,2016/08/13,2017/08/17,NA,APOE2,female,12M,ApoE-95,L3
ApoE3_12M_15,NA,Mouse,C57BL/6,Mayo_GB436,2016.09.23,NA,2016/09/23,2017/09/22,NA,APOE3,male,12M,ApoE-96,L3
