"individualID","individualIdSource","species","sex","genotype","genotypeBackground","room","litter","matingID","dateBirth","dateDeath","treatmentType","age"
"ApoE3_12M_9",NA,"Mouse","male","APOE3","C57BL/6","Mayo_GB436","ApoE3_12M_9",NA,"2016/08/06","2017/08/18",NA,NA
"ApoE4_12M_10",NA,"Mouse","female","APOE4","C57BL/6","Mayo_GB436","ApoE4_12M_10",NA,"2016/07/08","2017/07/11",NA,NA
"ApoE3_12M_2",NA,"Mouse","female","APOE3","C57BL/6","Mayo_GB436","ApoE3_12M_2",NA,"2016/08/06","2017/08/17",NA,NA
"ApoE3_24M_6",NA,"Mouse","male","APOE3","C57BL/6","Mayo_GB436","ApoE3_24M_6",NA,"2015/06/15","2017/06/30",NA,NA
"ApoE4_12M_8",NA,"Mouse","male","APOE4","C57BL/6","Mayo_GB436","ApoE4_12M_8",NA,"2016/07/08","2017/07/11",NA,NA
"ApoE2_12M_16",NA,"Mouse","female","APOE2","C57BL/6","Mayo_GB436","ApoE2_12M_16",NA,"2016/08/13","2017/08/17",NA,NA
"ApoE3_12M_15",NA,"Mouse","male","APOE3","C57BL/6","Mayo_GB436","ApoE3_12M_15",NA,"2016/09/23","2017/09/22",NA,NA
"S-1",NA,"Mouse","female","ApoE4","C57BL/6","Mayo_GB436","12M-apoE4-11",NA,"42546","42922",NA,"12M"
"S-2",NA,"Mouse","male","ApoE3","C57BL/6","Mayo_GB436","24M-apoE3-2",NA,"42170","42916",NA,"24M"
"S-3",NA,"Mouse","male","ApoE4","C57BL/6","Mayo_GB436","24M-apoE4-5",NA,"42170","42916",NA,"24M"
"S-4",NA,"Mouse","male","ApoE2","C57BL/6","Mayo_GB436","3M-apoE2-25",NA,"42275","43004",NA,"3M"
"S-5",NA,"Mouse","female","ApoE3","C57BL/6","Mayo_GB436","12M-apoE3-3",NA,"42125","42871",NA,"12M"
"S-6",NA,"Mouse","male","ApoE2","C57BL/6","Mayo_GB436","12M-apoE2-2",NA,"09/07/2016","12/06/2016",NA,"12M"
"S-7",NA,"Mouse","male","ApoE2","C57BL/6","Mayo_GB436","3M-apoE2-12",NA,"08/02/2016","11/03/2016",NA,"3M"
"S-8",NA,"Mouse","female","ApoE2","C57BL/6","Mayo_GB436","24M-apoE2-1",NA,"08/25/2016","11/23/2016",NA,"24M"
